consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,14.327505,space,42.117205,5,3.721555,5,2.54226,3,5.402605,0,0,0,0,1,A1WH32GYQOHIRQ,1,ma_72488522-a_w_outline.jpg,ma_72488522-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,4,4.24212,0,1,1,3,1,A1WH32GYQOHIRQ,4,ma_48384711-a_w_outline.jpg,ma_48384711-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,1,4.179655,0,2,2,15,1,A1WH32GYQOHIRQ,16,ma_87983207-a_w_outline.jpg,ma_87983207-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,3,5.221315,0,3,3,23,1,A1WH32GYQOHIRQ,24,ma_88767165-a_w_outline.jpg,ma_88767165-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,4,4.262335,0,4,4,25,1,A1WH32GYQOHIRQ,26,ma_23024660-a_w_outline.jpg,ma_23024660-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,2,5.523595,0,5,5,27,1,A1WH32GYQOHIRQ,28,ma_18345691-a_w_outline.jpg,ma_18345691-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,3,5.43898,0,6,6,20,1,A1WH32GYQOHIRQ,21,ma_79191795-a_w_outline.jpg,ma_79191795-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,5,3.66049,0,7,7,1,1,A1WH32GYQOHIRQ,2,ma_1191801-a_w_outline.jpg,ma_1191801-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,1,3.72666,0,8,8,22,1,A1WH32GYQOHIRQ,23,ma_83536470-a_w_outline.jpg,ma_83536470-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,3,3.480715,0,9,9,11,1,A1WH32GYQOHIRQ,12,ma_18169626-a_w_outline.jpg,ma_18169626-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,3,4.82512,0,10,10,4,1,A1WH32GYQOHIRQ,5,ma_13141692-a_w_outline.jpg,ma_13141692-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,2,4.0908,0,11,11,16,1,A1WH32GYQOHIRQ,17,ma_79241011-a_w_outline.jpg,ma_79241011-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,1,4.45795,0,12,12,24,1,A1WH32GYQOHIRQ,25,ma_38546029-a_w_outline.jpg,ma_38546029-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,1,4.711305,0,13,13,7,1,A1WH32GYQOHIRQ,8,ma_8197559-a_w_outline.jpg,ma_8197559-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,4,3.461985,0,14,14,6,1,A1WH32GYQOHIRQ,7,ma_83785171-a_w_outline.jpg,ma_83785171-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,1,9.41057,0,15,15,17,1,A1WH32GYQOHIRQ,18,ma_86520382-a_w_outline.jpg,ma_86520382-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,2,3.29577,0,16,16,26,1,A1WH32GYQOHIRQ,27,ma_75958241-a_w_outline.jpg,ma_75958241-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,4,3.758455,0,17,17,5,1,A1WH32GYQOHIRQ,6,ma_77345858-a_w_outline.jpg,ma_77345858-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,4,3.3286,0,18,18,28,1,A1WH32GYQOHIRQ,29,ma_77793328-a_w_outline.jpg,ma_77793328-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,2,3.56334,0,19,19,12,1,A1WH32GYQOHIRQ,13,ma_45525109-a_w_outline.jpg,ma_45525109-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,1,3.19756,0,20,20,9,1,A1WH32GYQOHIRQ,10,ma_32289063-a_w_outline.jpg,ma_32289063-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,1,4.094665,0,21,21,18,1,A1WH32GYQOHIRQ,19,ma_69128765-a_w_outline.jpg,ma_69128765-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,3,3.97681,0,22,22,14,1,A1WH32GYQOHIRQ,15,ma_3099758-a_w_outline.jpg,ma_3099758-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,4,4.30247,0,23,23,19,1,A1WH32GYQOHIRQ,20,ma_61118260-a_w_outline.jpg,ma_61118260-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,5,3.03125,0,24,24,29,1,A1WH32GYQOHIRQ,30,ma_70687495-a_w_outline.jpg,ma_70687495-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,3,3.858505,0,25,25,2,1,A1WH32GYQOHIRQ,3,ma_12178414-a_w_outline.jpg,ma_12178414-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,2,4.575195,0,26,26,10,1,A1WH32GYQOHIRQ,11,ma_67862299-a_w_outline.jpg,ma_67862299-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,1,4.67426,0,27,27,8,1,A1WH32GYQOHIRQ,9,ma_98156944-a_w_outline.jpg,ma_98156944-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,1,4.32374,0,28,28,21,1,A1WH32GYQOHIRQ,22,ma_8974554-a_w_outline.jpg,ma_8974554-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,3,3.545175,0,29,29,13,1,A1WH32GYQOHIRQ,14,ma_10810329-a_w_outline.jpg,ma_10810329-b_w_outline.jpg,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,,,,
,,,,,,,,,,,,,,,A1WH32GYQOHIRQ,,,,55,f,A1WH32GYQOHIRQ,2020-10-24_13h38.25.509,MetaAwareness,2020.1.2,MacIntel,60,5,1.245445,1,11.30947
