"image","count","stim_set"
"Cockpit",4,"rensink"
"Obelisk",4,"rensink"
"Turtle",4,"rensink"
"BarnTrack",5,"rensink"
"Bus",5,"rensink"
"Camel",5,"rensink"
"Eating",5,"rensink"
"Floatplane",5,"rensink"
"Harbor",5,"rensink"
"Ice",5,"rensink"
"Market",5,"rensink"
"Marling",5,"rensink"
"NotreDame",5,"rensink"
"Barrels",6,"rensink"
"Beach",6,"rensink"
"Boat",6,"rensink"
"Castle",6,"rensink"
"Dinner",6,"rensink"
"FarmByPond",6,"rensink"
"Farmer",6,"rensink"
"Fishing",6,"rensink"
"Fountain",6,"rensink"
"Kayaker",6,"rensink"
"Nurses",6,"rensink"
"Pilots",6,"rensink"
"Seal",6,"rensink"
"Water",6,"rensink"
"Wine",6,"rensink"
"Amish",7,"rensink"
"Army",7,"rensink"
"Barns",7,"rensink"
"Birds",7,"rensink"
"Cactus",7,"rensink"
"CanalBridge",7,"rensink"
"Chopper",7,"rensink"
"Description",7,"rensink"
"Diver",7,"rensink"
"Horizon",7,"rensink"
"OtherDiver",7,"rensink"
"Soldiers",7,"rensink"
"SummerLake",7,"rensink"
"Window",7,"rensink"
"Kayak",8,"rensink"
"Kids",8,"rensink"
"Lake",8,"rensink"
"Mosque",8,"rensink"
"Station",8,"rensink"
"Egypt",10,"rensink"
