"workerId","assignmentId","hitId","database","image","unmod_image_splash","mod_image","mod_image_splash","expTimer","response","trial_number","rt","x","y","click_acc","rt_s","log_rt","outliers","removed_RT"
"A10Z4QVBJIA914",NA,NA,"wolfe","103_R_hook","wolfe_103_R_hook-as","wolfe_103_R_hook-b","wolfe_103_R_hook-bs",80.444,-1,3,13234,647,98,"1",13.234,1.12169113030758,0,1.12169113030758
"A10Z4QVBJIA914",NA,NA,"wolfe","060_R_pillow","wolfe_060_R_pillow-as","wolfe_060_R_pillow-b","wolfe_060_R_pillow-bs",181.149,-1,14,8056,394,290,"1",8.056,0.906119457545562,0,0.906119457545562
"A10Z4QVBJIA914",NA,NA,"wolfe","040_R_painting","wolfe_040_R_painting-as","wolfe_040_R_painting-b","wolfe_040_R_painting-bs",221.926,-1,18,7695,511,92,"1",7.695,0.886208624167498,0,0.886208624167498
"A10Z4QVBJIA914",NA,NA,"wolfe","062_R_flowers","wolfe_062_R_flowers-as","wolfe_062_R_flowers-b","wolfe_062_R_flowers-bs",251.043,-1,21,7441,565,276,"1",7.441,0.871631304537554,0,0.871631304537554
"A10Z4QVBJIA914",NA,NA,"wolfe","016_R_art","wolfe_016_R_art-as","wolfe_016_R_art-b","wolfe_016_R_art-bs",269.558,-1,23,6758,621,195,"1",6.758,0.829818187438877,0,0.829818187438877
"A10Z4QVBJIA914",NA,NA,"wolfe","070_R_lamp","wolfe_070_R_lamp-as","wolfe_070_R_lamp-b","wolfe_070_R_lamp-bs",278.315,-1,24,7084,613,148,"1",7.084,0.850278552518037,0,0.850278552518037
"A10Z4QVBJIA914",NA,NA,"wolfe","128_R_pot","wolfe_128_R_pot-as","wolfe_128_R_pot-b","wolfe_128_R_pot-bs",350.008,-1,31,7503,500,243,"1",7.503,0.875234946450165,0,0.875234946450165
"A10ZW7G8U02Y78",NA,NA,"wolfe","056_L_comforter","wolfe_056_L_comforter-as","wolfe_056_L_comforter-b","wolfe_056_L_comforter-bs",76.902,-1,4,10939,158,331,"1",10.939,1.03897762233269,0,1.03897762233269
"A10ZW7G8U02Y78",NA,NA,"wolfe","068_L_faucet","wolfe_068_L_faucet-as","wolfe_068_L_faucet-b","wolfe_068_L_faucet-bs",91.214,-1,5,12809,288,301,"1",12.809,1.10751522565146,0,1.10751522565146
"A10ZW7G8U02Y78",NA,NA,"wolfe","075_L_light","wolfe_075_L_light-as","wolfe_075_L_light-b","wolfe_075_L_light-bs",116.804,-1,7,17043,141,56,"1",17.043,1.23154604399692,0,1.23154604399692
