"workerId","assignmentId","hitId","database","image","unmod_image_splash","mod_image","mod_image_splash","expTimer","response","trial_number","rt","x","y","click_acc","rt_s","log_rt","outliers","removed_RT"
"A120URYFNZAZYW",NA,NA,"ma","12178414","ma_12178414-as","ma_12178414-b","ma_12178414-bs",50.611,-1,3,5196,295,199,"1",5.196,0.71566914240099,0,0.71566914240099
"A120URYFNZAZYW",NA,NA,"ma","75081153","ma_75081153-as","ma_75081153-b","ma_75081153-bs",56.322,-1,4,5318,209,371,"1",5.318,0.725748332995548,0,0.725748332995548
"A120URYFNZAZYW",NA,NA,"ma","97475929","ma_97475929-as","ma_97475929-b","ma_97475929-bs",62.649,-1,5,4832,373,391,"1",4.832,0.684126925613075,0,0.684126925613075
"A120URYFNZAZYW",NA,NA,"ma","89354846","ma_89354846-as","ma_89354846-b","ma_89354846-bs",68.541,-1,6,4970,360,232,"1",4.97,0.696356388733332,0,0.696356388733332
"A120URYFNZAZYW",NA,NA,"ma","18169626","ma_18169626-as","ma_18169626-b","ma_18169626-bs",73.749,-1,7,4864,349,295,"1",4.864,0.686993566264679,0,0.686993566264679
"A120URYFNZAZYW",NA,NA,"ma","83785171","ma_83785171-as","ma_83785171-b","ma_83785171-bs",79.553,-1,8,5049,356,314,"1",5.049,0.703205370695486,0,0.703205370695486
"A120URYFNZAZYW",NA,NA,"ma","79222679","ma_79222679-as","ma_79222679-b","ma_79222679-bs",84.921,-1,9,4836,518,197,"1",4.836,0.684486292188734,0,0.684486292188734
"A120URYFNZAZYW",NA,NA,"ma","72488522","ma_72488522-as","ma_72488522-b","ma_72488522-bs",90.214,-1,10,4869,375,271,"1",4.869,0.687439774545894,0,0.687439774545894
"A120URYFNZAZYW",NA,NA,"ma","61118260","ma_61118260-as","ma_61118260-b","ma_61118260-bs",95.756,-1,11,4737,570,230,"1",4.737,0.675503384727957,0,0.675503384727957
"A120URYFNZAZYW",NA,NA,"ma","83536470","ma_83536470-as","ma_83536470-b","ma_83536470-bs",101.157,-1,12,4612,196,199,"1",4.612,0.663889298622661,0,0.663889298622661
"A120URYFNZAZYW",NA,NA,"ma","8197559","ma_8197559-as","ma_8197559-b","ma_8197559-bs",107.141,-1,13,4804,292,377,"1",4.804,0.681602998730868,0,0.681602998730868
"A120URYFNZAZYW",NA,NA,"ma","3099758","ma_3099758-as","ma_3099758-b","ma_3099758-bs",112.364,-1,14,4788,338,392,"1",4.788,0.680154141734373,0,0.680154141734373
"A120URYFNZAZYW",NA,NA,"ma","77793328","ma_77793328-as","ma_77793328-b","ma_77793328-bs",118.377,-1,15,5639,550,296,"1",5.639,0.751202094588353,0,0.751202094588353
"A120URYFNZAZYW",NA,NA,"ma","77574131","ma_77574131-as","ma_77574131-b","ma_77574131-bs",123.8,-1,16,4761,67,115,"1",4.761,0.677698181474511,0,0.677698181474511
"A120URYFNZAZYW",NA,NA,"ma","38546029","ma_38546029-as","ma_38546029-b","ma_38546029-bs",129.273,-1,17,4843,349,415,"1",4.843,0.685114469046539,0,0.685114469046539
