image,change_type
Amish,color
Barns,color
BarnTrack,color
Barrels,color
Beach,color
Description,color
Diver,color
Farmer,color
Floatplane,color
Harbor,color
Kayak,color
Kids,color
Market,color
Nurses,color
Pilots,color
Turtle,color
Army,disappear
Bus,disappear
Cactus,disappear
Camel,disappear
CanalBridge,disappear
Chopper,disappear
Ice,disappear
Kayaker,disappear
Lake,disappear
Marling,disappear
Mosque,disappear
Obelisk,disappear
Soldiers,disappear
Station,disappear
SummerLake,disappear
Window,disappear
Wine,disappear
Birds,movement
Boat,movement
Castle,movement
Cockpit,movement
Dinner,movement
Eating,movement
Egypt,movement
FarmByPond,movement
Fishing,movement
Fountain,movement
Horizon,movement
NotreDame,movement
OtherDiver,movement
Seal,movement
Water,movement
