"workerId","assignmentId","hitId","database","image","unmod_image_splash","mod_image","mod_image_splash","expTimer","response","trial_number","rt","x","y","click_acc","rt_s","log_rt","outliers","removed_RT"
"A03172343NB8PHOPICC1",NA,NA,"wolfe","image-134","wolfe_image-134-as","wolfe_image-134-b","wolfe_image-134-bs",82.792,-1,3,6699,557,342,"1",6.699,0.8260099777911,0,0.8260099777911
"A03172343NB8PHOPICC1",NA,NA,"wolfe","image-088","wolfe_image-088-as","wolfe_image-088-b","wolfe_image-088-bs",112.685,-1,7,7575,448,369,"1",7.575,0.879382637174343,0,0.879382637174343
"A03172343NB8PHOPICC1",NA,NA,"wolfe","image-030","wolfe_image-030-as","wolfe_image-030-b","wolfe_image-030-bs",120.531,-1,8,7296,446,253,"1",7.296,0.86308482532036,0,0.86308482532036
"A03172343NB8PHOPICC1",NA,NA,"wolfe","image-037","wolfe_image-037-as","wolfe_image-037-b","wolfe_image-037-bs",135.87,-1,10,7433,214,362,"1",7.433,0.871164132802949,0,0.871164132802949
"A03172343NB8PHOPICC1",NA,NA,"wolfe","image-109","wolfe_image-109-as","wolfe_image-109-b","wolfe_image-109-bs",143.722,-1,11,6898,170,269,"1",6.898,0.838723190031372,0,0.838723190031372
"A03172343NB8PHOPICC1",NA,NA,"wolfe","image-118","wolfe_image-118-as","wolfe_image-118-b","wolfe_image-118-bs",160.99,-1,13,7963,616,310,"1",7.963,0.901076715726255,0,0.901076715726255
"A03172343NB8PHOPICC1",NA,NA,"wolfe","image-120","wolfe_image-120-as","wolfe_image-120-b","wolfe_image-120-bs",168.64,-1,14,6812,535,350,"1",6.812,0.833274639290563,0,0.833274639290563
"A03172343NB8PHOPICC1",NA,NA,"wolfe","image-125","wolfe_image-125-as","wolfe_image-125-b","wolfe_image-125-bs",176.761,-1,15,7090,109,376,"1",7.09,0.850646235183066,0,0.850646235183066
"A03172343NB8PHOPICC1",NA,NA,"wolfe","image-080","wolfe_image-080-as","wolfe_image-080-b","wolfe_image-080-bs",185.146,-1,16,7560,28,185,"1",7.56,0.878521795501206,0,0.878521795501206
"A03172343NB8PHOPICC1",NA,NA,"wolfe","image-115","wolfe_image-115-as","wolfe_image-115-b","wolfe_image-115-bs",192.869,-1,17,6629,135,332,"1",6.629,0.82144801901753,0,0.82144801901753
"A03172343NB8PHOPICC1",NA,NA,"wolfe","image-105","wolfe_image-105-as","wolfe_image-105-b","wolfe_image-105-bs",200.796,-1,18,7069,468,223,"1",7.069,0.849357981661299,0,0.849357981661299
"A03172343NB8PHOPICC1",NA,NA,"wolfe","image-039","wolfe_image-039-as","wolfe_image-039-b","wolfe_image-039-bs",241.75,-1,22,7053,563,189,"1",7.053,0.848373883844602,0,0.848373883844602
