"workerId","assignmentId","hitId","database","image","unmod_image_splash","mod_image","mod_image_splash","expTimer","response","trial_number","rt","x","y","click_acc","rt_s","log_rt","outliers","removed_RT"
"A10MSB9X1UFLJ5",NA,NA,"rensink","Beach","rensink_Beach-as","rensink_Beach-b","rensink_Beach-bs",94.309,-1,3,6951,524,404,"1",6.951,0.842047288509638,0,0.842047288509638
"A10MSB9X1UFLJ5",NA,NA,"rensink","Station","rensink_Station-as","rensink_Station-b","rensink_Station-bs",106.023,-1,4,10766,588,229,"1",10.766,1.03205437547967,0,1.03205437547967
"A10MSB9X1UFLJ5",NA,NA,"rensink","Camel","rensink_Camel-as","rensink_Camel-b","rensink_Camel-bs",114.289,-1,5,7083,676,230,"1",7.083,0.850217241798389,0,0.850217241798389
"A10MSB9X1UFLJ5",NA,NA,"rensink","BarnTrack","rensink_BarnTrack-as","rensink_BarnTrack-b","rensink_BarnTrack-bs",122.295,-1,6,6850,232,463,"1",6.85,0.835690571492426,0,0.835690571492426
"A10MSB9X1UFLJ5",NA,NA,"rensink","Lake","rensink_Lake-as","rensink_Lake-b","rensink_Lake-bs",133.129,-1,7,6795,465,287,"1",6.795,0.832189461068513,0,0.832189461068513
"A10MSB9X1UFLJ5",NA,NA,"rensink","Barrels","rensink_Barrels-as","rensink_Barrels-b","rensink_Barrels-bs",141.455,-1,9,7216,663,484,"1",7.216,0.858296524533885,0,0.858296524533885
"A10MSB9X1UFLJ5",NA,NA,"rensink","Chopper","rensink_Chopper-as","rensink_Chopper-b","rensink_Chopper-bs",155.541,-1,10,13102,129,445,"1",13.102,1.11733759509592,0,1.11733759509592
"A10MSB9X1UFLJ5",NA,NA,"rensink","Description","rensink_Description-as","rensink_Description-b","rensink_Description-bs",171.473,-1,11,14929,654,152,"1",14.929,1.17403071803803,0,1.17403071803803
"A10MSB9X1UFLJ5",NA,NA,"rensink","Kayak","rensink_Kayak-as","rensink_Kayak-b","rensink_Kayak-bs",179.477,-1,12,6857,271,328,"1",6.857,0.836134149465375,0,0.836134149465375
"A10MSB9X1UFLJ5",NA,NA,"rensink","Window","rensink_Window-as","rensink_Window-b","rensink_Window-bs",190.089,-1,13,10049,57,406,"1",10.049,1.00212284622516,0,1.00212284622516
"A10MSB9X1UFLJ5",NA,NA,"rensink","Kids","rensink_Kids-as","rensink_Kids-b","rensink_Kids-bs",198.88,-1,14,7144,98,308,"1",7.144,0.85394144588049,0,0.85394144588049
"A10MSB9X1UFLJ5",NA,NA,"rensink","Army","rensink_Army-as","rensink_Army-b","rensink_Army-bs",208.905,-1,15,8910,645,210,"1",8.91,0.949877704036875,0,0.949877704036875
