consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,19.804,space,1.107,5,23.105,0,0,0,54,1,in a dinning room there is a wall with two prints on the wall,in a dinning room there is a wall with three prints on the wall,wolfe2,040_L_painting,2,44,A1P5FJPAEO3RP7,2021-01-26_07h02.03.093,MetaAwareness,2020.1.2,Win32,60,33TGB4G0LQK9FDSB50H28AI9YEKTXR,A1P5FJPAEO3RP7,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,QV8W8,QV8W8,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,271388,271388,,,,,,,,,,
,,,,6,5.739,0,1,1,56,1,"this tiled bathroom is cream in color, with brown accents set by the towels and the rug on the floor.","this lovely tiled bathroom is cream in color, and there are two faucets on the wall, each going into it's own basin, and each has it's own mirror above it.",wolfe2,042_L_tap,5,44,A1P5FJPAEO3RP7,2021-01-26_07h02.03.093,MetaAwareness,2020.1.2,Win32,60,33TGB4G0LQK9FDSB50H28AI9YEKTXR,A1P5FJPAEO3RP7,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,QV8W8,QV8W8,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,271388,271388,,,,,,,,,,
,,,,3,7.77,0,2,2,125,1,two beds next to each other with a golden tag in between.,two beds next to each other.,wolfe2,093_L_switch,8,44,A1P5FJPAEO3RP7,2021-01-26_07h02.03.093,MetaAwareness,2020.1.2,Win32,60,33TGB4G0LQK9FDSB50H28AI9YEKTXR,A1P5FJPAEO3RP7,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,QV8W8,QV8W8,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,271388,271388,,,,,,,,,,
,,,,4,3.847,0,3,3,144,1,a florida room with a small vase on the floor,a florida room with some plantsnum_enter,wolfe2,111_L_pot,3,44,A1P5FJPAEO3RP7,2021-01-26_07h02.03.093,MetaAwareness,2020.1.2,Win32,60,33TGB4G0LQK9FDSB50H28AI9YEKTXR,A1P5FJPAEO3RP7,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,QV8W8,QV8W8,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,271388,271388,,,,,,,,,,
,,,,5,21.577,0,4,4,68,1,"an upscale, modern living room with a gray couch","an upscale, modern living room with a gray couch, a blanket a magazine lays on the couch",wolfe2,056_R_comforter,6,44,A1P5FJPAEO3RP7,2021-01-26_07h02.03.093,MetaAwareness,2020.1.2,Win32,60,33TGB4G0LQK9FDSB50H28AI9YEKTXR,A1P5FJPAEO3RP7,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,QV8W8,QV8W8,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,271388,271388,,,,,,,,,,
,,,,4,2.916,0,5,5,165,1,a little stool appears in the right corner,no one has appear in the right corner yellow space,wolfe2,125_R_sofa,1,44,A1P5FJPAEO3RP7,2021-01-26_07h02.03.093,MetaAwareness,2020.1.2,Win32,60,33TGB4G0LQK9FDSB50H28AI9YEKTXR,A1P5FJPAEO3RP7,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,QV8W8,QV8W8,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,271388,271388,,,,,,,,,,
,,,,5,1.834,0,6,6,64,1,a rustic style bathroom with stone floors and a dresser with one drawer handle,a rustic style bathroom with stone floors and a dresser with two drawer handles,wolfe2,053_R_handle,4,44,A1P5FJPAEO3RP7,2021-01-26_07h02.03.093,MetaAwareness,2020.1.2,Win32,60,33TGB4G0LQK9FDSB50H28AI9YEKTXR,A1P5FJPAEO3RP7,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,QV8W8,QV8W8,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,271388,271388,,,,,,,,,,
,,,,6,2.001,0,7,7,110,1,vintage style bedroom with grey walls,vintage style bedroom with grey walls and a nightstand which holds a small dish,wolfe2,082_R_bowl,1,44,A1P5FJPAEO3RP7,2021-01-26_07h02.03.093,MetaAwareness,2020.1.2,Win32,60,33TGB4G0LQK9FDSB50H28AI9YEKTXR,A1P5FJPAEO3RP7,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,QV8W8,QV8W8,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,271388,271388,,,,,,,,,,
,,,,5,1.47,0,8,8,91,1,an upscale living room that has a nude color scheme and one light feature on the wall,an upscale living room that has a nude color scheme and 2 light features on the wall,wolfe2,070_L_lamp,3,44,A1P5FJPAEO3RP7,2021-01-26_07h02.03.093,MetaAwareness,2020.1.2,Win32,60,33TGB4G0LQK9FDSB50H28AI9YEKTXR,A1P5FJPAEO3RP7,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,QV8W8,QV8W8,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,271388,271388,,,,,,,,,,
,,,,4,2.038,0,9,9,135,1,this comfy cafe has large plush chairs and small tables. on top of each table is a nice candle.,"each table in this lovely and small cafe has a small candle on top of it. there is also a small vase on the second table from center, it appears to be brown or black.",wolfe2,104_L_bottle,3,44,A1P5FJPAEO3RP7,2021-01-26_07h02.03.093,MetaAwareness,2020.1.2,Win32,60,33TGB4G0LQK9FDSB50H28AI9YEKTXR,A1P5FJPAEO3RP7,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,QV8W8,QV8W8,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,271388,271388,,,,,,,,,,
,,,,3,5.502,0,10,10,19,1,room with two tables and 3 lights on the wall,room with two tables and 4 lights on the wall,wolfe2,014_L_lamp,4,44,A1P5FJPAEO3RP7,2021-01-26_07h02.03.093,MetaAwareness,2020.1.2,Win32,60,33TGB4G0LQK9FDSB50H28AI9YEKTXR,A1P5FJPAEO3RP7,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,QV8W8,QV8W8,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,271388,271388,,,,,,,,,,
,,,,5,1.678,0,11,11,118,1,a barber shop with a picture of woman with red hair between station that has a picture of a woman with black hair on the other side of station,a barber shop with a picture of a woman with black hair between the stations,wolfe2,089_R_poster,3,44,A1P5FJPAEO3RP7,2021-01-26_07h02.03.093,MetaAwareness,2020.1.2,Win32,60,33TGB4G0LQK9FDSB50H28AI9YEKTXR,A1P5FJPAEO3RP7,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,QV8W8,QV8W8,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,271388,271388,,,,,,,,,,
,,,,6,2.871,0,12,12,133,1,a brown bathroom with a small tear in the wall next to the mirror,a brown bathroom without a small tear in the wall next to the mirror,wolfe2,103_L_hook,5,44,A1P5FJPAEO3RP7,2021-01-26_07h02.03.093,MetaAwareness,2020.1.2,Win32,60,33TGB4G0LQK9FDSB50H28AI9YEKTXR,A1P5FJPAEO3RP7,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,QV8W8,QV8W8,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,271388,271388,,,,,,,,,,
,,,,5,1.495,0,13,13,5,1,"a living room with wood paneled windows that look out on a quiet, serene mountain lake",a living room with wood paneled windows that look out onto a mountain lake that appears to have three ducks or swans swimming in it,wolfe2,003_L_ducks,3,44,A1P5FJPAEO3RP7,2021-01-26_07h02.03.093,MetaAwareness,2020.1.2,Win32,60,33TGB4G0LQK9FDSB50H28AI9YEKTXR,A1P5FJPAEO3RP7,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,QV8W8,QV8W8,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,271388,271388,,,,,,,,,,
,,,,6,1.478,0,14,14,29,1,a landscaped outdoor porch with a blurred door to the right side,a landscaped outdoor porch with a plant in front of a blurred door to the right side,wolfe2,018_R_plant,1,44,A1P5FJPAEO3RP7,2021-01-26_07h02.03.093,MetaAwareness,2020.1.2,Win32,60,33TGB4G0LQK9FDSB50H28AI9YEKTXR,A1P5FJPAEO3RP7,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,QV8W8,QV8W8,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,3W8CV64QJ32WVSHCSSZ127OR6YT9HB,271388,271388,,,,,,,,,,
