start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,worker_ID,age,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
9:19:17:374,9:20:33:189,9:20:48:102,9:20:48:111,space,8.66695,9:20:56:944,9:20:56:955,space,19.1558,9:21:16:123,9:21:17:133,,space,90.589275,9:22:47:846,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.0544,0.012,0,0,0,9:22:48:852,,space,35.993635,9:23:24:894,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.2576,-0.1016,0,0,0,9:23:25:910,,space,26.04427,9:23:51:997,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.208,-0.0568,0,0,0,9:23:53:9,return,25.069755,9:24:18:96,9:24:19:120,,return,222.36065,9:28:1:522,a pot contains a pink color with brown shade design,a pot contains a yellow color with green shade design.,-0.2656,-0.3432,0,0,0,0,0,0,6,1,AA9PFKXAPSD78,27,ma_46475259-a_w_outline.jpg,ma_46475259-b_w_outline.jpg,AA9PFKXAPSD78,45,2020-12-21_09h20.32.933,MetaAwareness,2020.1.2,Win32,60,3BC9H1KCYVFQ7ZMF518FE8WH3DHWY8,3SKRO2GZ72U58DFPU0N50TM0XL3K18,ZOKS9,ZOKS9,3SKRO2GZ72U58DFPU0N50TM0XL3K18,3SKRO2GZ72U58DFPU0N50TM0XL3K18,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:28:2:537,,return,116.46843,9:29:59:42,a robotic cake design with red color edges,a robotic cake design with yellow color edges.,0.6656,-0.2056,0,0,0,0,1,1,0,1,AA9PFKXAPSD78,4,ma_12115280-a_w_outline.jpg,ma_12115280-b_w_outline.jpg,AA9PFKXAPSD78,45,2020-12-21_09h20.32.933,MetaAwareness,2020.1.2,Win32,60,3BC9H1KCYVFQ7ZMF518FE8WH3DHWY8,3SKRO2GZ72U58DFPU0N50TM0XL3K18,ZOKS9,ZOKS9,3SKRO2GZ72U58DFPU0N50TM0XL3K18,3SKRO2GZ72U58DFPU0N50TM0XL3K18,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:30:0:44,,return,99.775545,9:31:39:856,a parachute with gas fire at pink color edges.,a parachute with gas fire at yellow color edges.,0.2224,-0.3064,0,0,0,0,2,2,1,1,AA9PFKXAPSD78,5,ma_12178414-a_w_outline.jpg,ma_12178414-b_w_outline.jpg,AA9PFKXAPSD78,45,2020-12-21_09h20.32.933,MetaAwareness,2020.1.2,Win32,60,3BC9H1KCYVFQ7ZMF518FE8WH3DHWY8,3SKRO2GZ72U58DFPU0N50TM0XL3K18,ZOKS9,ZOKS9,3SKRO2GZ72U58DFPU0N50TM0XL3K18,3SKRO2GZ72U58DFPU0N50TM0XL3K18,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:31:40:864,,return,63.24105,9:32:44:149,a photo frames with square shape.,a photo frames with rectangle shape.,0.2544,-0.3,0,0,0,0,3,3,8,1,AA9PFKXAPSD78,32,ma_51856108-a_w_outline.jpg,ma_51856108-b_w_outline.jpg,AA9PFKXAPSD78,45,2020-12-21_09h20.32.933,MetaAwareness,2020.1.2,Win32,60,3BC9H1KCYVFQ7ZMF518FE8WH3DHWY8,3SKRO2GZ72U58DFPU0N50TM0XL3K18,ZOKS9,ZOKS9,3SKRO2GZ72U58DFPU0N50TM0XL3K18,3SKRO2GZ72U58DFPU0N50TM0XL3K18,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:32:45:158,,return,113.611,9:34:38:807,a egg shape with smaller size and less ingredient has been added,a egg shape with larger size and maximum amount of ingredient has been added.,0.1936,-0.3528,0,0,0,0,4,4,7,1,AA9PFKXAPSD78,31,ma_51537628-a_w_outline.jpg,ma_51537628-b_w_outline.jpg,AA9PFKXAPSD78,45,2020-12-21_09h20.32.933,MetaAwareness,2020.1.2,Win32,60,3BC9H1KCYVFQ7ZMF518FE8WH3DHWY8,3SKRO2GZ72U58DFPU0N50TM0XL3K18,ZOKS9,ZOKS9,3SKRO2GZ72U58DFPU0N50TM0XL3K18,3SKRO2GZ72U58DFPU0N50TM0XL3K18,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:34:39:814,,return,72.179675,9:35:52:26,a small toy with yellow color,a small toy with red color and its look like cherry.,1.0144,-0.2152,0,0,0,0,5,5,2,1,AA9PFKXAPSD78,6,ma_13141692-a_w_outline.jpg,ma_13141692-b_w_outline.jpg,AA9PFKXAPSD78,45,2020-12-21_09h20.32.933,MetaAwareness,2020.1.2,Win32,60,3BC9H1KCYVFQ7ZMF518FE8WH3DHWY8,3SKRO2GZ72U58DFPU0N50TM0XL3K18,ZOKS9,ZOKS9,3SKRO2GZ72U58DFPU0N50TM0XL3K18,3SKRO2GZ72U58DFPU0N50TM0XL3K18,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:35:53:35,,return,144.65789,9:38:17:735,their is a grey color round shade available on outside of photo frame.,their is no shaded available on outside of photo frame.,0.3056,-0.324,0,0,0,0,6,6,5,1,AA9PFKXAPSD78,22,ma_38546029-a_w_outline.jpg,ma_38546029-b_w_outline.jpg,AA9PFKXAPSD78,45,2020-12-21_09h20.32.933,MetaAwareness,2020.1.2,Win32,60,3BC9H1KCYVFQ7ZMF518FE8WH3DHWY8,3SKRO2GZ72U58DFPU0N50TM0XL3K18,ZOKS9,ZOKS9,3SKRO2GZ72U58DFPU0N50TM0XL3K18,3SKRO2GZ72U58DFPU0N50TM0XL3K18,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:38:18:741,,return,61.113015,9:39:19:891,a name board is not available infront of spoon on the table.,a name board is available infront of spoon on the table.,0.2736,-0.2696,0,0,0,0,7,7,11,1,AA9PFKXAPSD78,55,ma_81993755-a_w_outline.jpg,ma_81993755-b_w_outline.jpg,AA9PFKXAPSD78,45,2020-12-21_09h20.32.933,MetaAwareness,2020.1.2,Win32,60,3BC9H1KCYVFQ7ZMF518FE8WH3DHWY8,3SKRO2GZ72U58DFPU0N50TM0XL3K18,ZOKS9,ZOKS9,3SKRO2GZ72U58DFPU0N50TM0XL3K18,3SKRO2GZ72U58DFPU0N50TM0XL3K18,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:39:20:899,,return,127.810105,9:41:28:750,a yellow color  bowl with green shaded are available inside.,a yellow color bowl with cream chaded are available inside,0.5904,-0.2696,0,0,0,0,8,8,9,1,AA9PFKXAPSD78,38,ma_62224663-a_w_outline.jpg,ma_62224663-b_w_outline.jpg,AA9PFKXAPSD78,45,2020-12-21_09h20.32.933,MetaAwareness,2020.1.2,Win32,60,3BC9H1KCYVFQ7ZMF518FE8WH3DHWY8,3SKRO2GZ72U58DFPU0N50TM0XL3K18,ZOKS9,ZOKS9,3SKRO2GZ72U58DFPU0N50TM0XL3K18,3SKRO2GZ72U58DFPU0N50TM0XL3K18,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:41:29:760,,return,60.634035,9:42:30:429,an yellow color star symbol will be slightly rotated.,an yellow color star symbol will be attached perfectly.,0.28,-0.276,0,0,0,0,9,9,4,1,AA9PFKXAPSD78,20,ma_32289063-a_w_outline.jpg,ma_32289063-b_w_outline.jpg,AA9PFKXAPSD78,45,2020-12-21_09h20.32.933,MetaAwareness,2020.1.2,Win32,60,3BC9H1KCYVFQ7ZMF518FE8WH3DHWY8,3SKRO2GZ72U58DFPU0N50TM0XL3K18,ZOKS9,ZOKS9,3SKRO2GZ72U58DFPU0N50TM0XL3K18,3SKRO2GZ72U58DFPU0N50TM0XL3K18,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
