consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,4.56995,space,4.33837,5,3.524825,5,2.50345,4,7.013555,0,0,0,12,1,A6MWJK1YEY5L2,13,wolfe_image-037-a_w_outline.jpg,wolfe_image-037-b_w_outline.jpg,35,M,A6MWJK1YEY5L2,2020-10-26_17h36.44.788,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,3,5.06577,0,1,1,16,1,A6MWJK1YEY5L2,17,wolfe_image-007-a_w_outline.jpg,wolfe_image-007-b_w_outline.jpg,35,M,A6MWJK1YEY5L2,2020-10-26_17h36.44.788,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,2,5.01023,0,2,2,13,1,A6MWJK1YEY5L2,14,wolfe_image-029-a_w_outline.jpg,wolfe_image-029-b_w_outline.jpg,35,M,A6MWJK1YEY5L2,2020-10-26_17h36.44.788,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,5,4.160885,0,3,3,15,1,A6MWJK1YEY5L2,16,wolfe_image-092-a_w_outline.jpg,wolfe_image-092-b_w_outline.jpg,35,M,A6MWJK1YEY5L2,2020-10-26_17h36.44.788,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,3.79387,0,4,4,4,1,A6MWJK1YEY5L2,5,wolfe_image-043-a_w_outline.jpg,wolfe_image-043-b_w_outline.jpg,35,M,A6MWJK1YEY5L2,2020-10-26_17h36.44.788,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,7.65103,0,5,5,18,1,A6MWJK1YEY5L2,19,wolfe_image-049-a_w_outline.jpg,wolfe_image-049-b_w_outline.jpg,35,M,A6MWJK1YEY5L2,2020-10-26_17h36.44.788,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,2,4.41071,0,6,6,27,1,A6MWJK1YEY5L2,28,wolfe_image-032-a_w_outline.jpg,wolfe_image-032-b_w_outline.jpg,35,M,A6MWJK1YEY5L2,2020-10-26_17h36.44.788,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,5.153485,0,7,7,11,1,A6MWJK1YEY5L2,12,wolfe_image-003-a_w_outline.jpg,wolfe_image-003-b_w_outline.jpg,35,M,A6MWJK1YEY5L2,2020-10-26_17h36.44.788,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,3,4.269415,0,8,8,17,1,A6MWJK1YEY5L2,18,wolfe_image-093-a_w_outline.jpg,wolfe_image-093-b_w_outline.jpg,35,M,A6MWJK1YEY5L2,2020-10-26_17h36.44.788,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,5,2.97331,0,9,9,5,1,A6MWJK1YEY5L2,6,wolfe_image-088-a_w_outline.jpg,wolfe_image-088-b_w_outline.jpg,35,M,A6MWJK1YEY5L2,2020-10-26_17h36.44.788,MetaAwareness,2020.1.2,Win32,60,,,,
