consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,9.00684,space,27.96762,5,2.45958,5,1.64258,4,7.96808,0,0,0,7,1,A1T2598R44X648,8,wolfe_image-116-a_w_outline.jpg,wolfe_image-116-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,5.44038,0,1,1,13,1,A1T2598R44X648,14,wolfe_image-099-a_w_outline.jpg,wolfe_image-099-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,5,4.72878,0,2,2,21,1,A1T2598R44X648,22,wolfe_image-023-a_w_outline.jpg,wolfe_image-023-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,5,4.75091,0,3,3,9,1,A1T2598R44X648,10,wolfe_image-007-a_w_outline.jpg,wolfe_image-007-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,3.870695,0,4,4,1,1,A1T2598R44X648,2,wolfe_image-117-a_w_outline.jpg,wolfe_image-117-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,4.1587,0,5,5,3,1,A1T2598R44X648,4,wolfe_image-015-a_w_outline.jpg,wolfe_image-015-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,7.801565,0,6,6,2,1,A1T2598R44X648,3,wolfe_image-005-a_w_outline.jpg,wolfe_image-005-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,1,6.676235,0,7,7,15,1,A1T2598R44X648,16,wolfe_image-094-a_w_outline.jpg,wolfe_image-094-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,1,2.61745,0,8,8,29,1,A1T2598R44X648,30,wolfe_image-027-a_w_outline.jpg,wolfe_image-027-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,5,4.185335,0,9,9,12,1,A1T2598R44X648,13,wolfe_image-014-a_w_outline.jpg,wolfe_image-014-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,4.40834,0,10,10,27,1,A1T2598R44X648,28,wolfe_image-008-a_w_outline.jpg,wolfe_image-008-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,5,4.574575,0,11,11,28,1,A1T2598R44X648,29,wolfe_image-009-a_w_outline.jpg,wolfe_image-009-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,1,4.507845,0,12,12,4,1,A1T2598R44X648,5,wolfe_image-031-a_w_outline.jpg,wolfe_image-031-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,5.35344,0,13,13,11,1,A1T2598R44X648,12,wolfe_image-092-a_w_outline.jpg,wolfe_image-092-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,2,5.42008,0,14,14,6,1,A1T2598R44X648,7,wolfe_image-118-a_w_outline.jpg,wolfe_image-118-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,2,5.60922,0,15,15,23,1,A1T2598R44X648,24,wolfe_image-123-a_w_outline.jpg,wolfe_image-123-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,1,3.80622,0,16,16,17,1,A1T2598R44X648,18,wolfe_image-096-a_w_outline.jpg,wolfe_image-096-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,5.928635,0,17,17,5,1,A1T2598R44X648,6,wolfe_image-021-a_w_outline.jpg,wolfe_image-021-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,4.819715,0,18,18,14,1,A1T2598R44X648,15,wolfe_image-029-a_w_outline.jpg,wolfe_image-029-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,3.27106,0,19,19,10,1,A1T2598R44X648,11,wolfe_image-090-a_w_outline.jpg,wolfe_image-090-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,4.33576,0,20,20,20,1,A1T2598R44X648,21,wolfe_image-105-a_w_outline.jpg,wolfe_image-105-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,3.885875,0,21,21,16,1,A1T2598R44X648,17,wolfe_image-125-a_w_outline.jpg,wolfe_image-125-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,5,3.061275,0,22,22,24,1,A1T2598R44X648,25,wolfe_image-033-a_w_outline.jpg,wolfe_image-033-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,7.651435,0,23,23,18,1,A1T2598R44X648,19,wolfe_image-131-a_w_outline.jpg,wolfe_image-131-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,5,3.251355,0,24,24,0,1,A1T2598R44X648,1,wolfe_image-049-a_w_outline.jpg,wolfe_image-049-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,2,3.901355,0,25,25,26,1,A1T2598R44X648,27,wolfe_image-129-a_w_outline.jpg,wolfe_image-129-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,3.81674,0,26,26,8,1,A1T2598R44X648,9,wolfe_image-028-a_w_outline.jpg,wolfe_image-028-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
,,,,,,,,4,3.563425,0,27,27,25,1,A1T2598R44X648,26,wolfe_image-083-a_w_outline.jpg,wolfe_image-083-b_w_outline.jpg,39,f,A1T2598R44X648,2020-10-26_18h06.06.749,MetaAwareness,2020.1.2,Win32,60,,,,
