consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,Cow_resp.keys,Cow_resp.rt
space,0.73657,space,0.692545,1,0.39001,2,0.37889,1,1.461105,0,0,0,14,1,A1CUDX7TTS2W61,15,wolfe_image-122-a_w_outline.jpg,wolfe_image-122-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.475195,0,1,1,9,1,A1CUDX7TTS2W61,10,wolfe_image-110-a_w_outline.jpg,wolfe_image-110-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,1,1.464945,0,2,2,23,1,A1CUDX7TTS2W61,24,wolfe_image-120-a_w_outline.jpg,wolfe_image-120-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.429935,0,3,3,19,1,A1CUDX7TTS2W61,20,wolfe_image-043-a_w_outline.jpg,wolfe_image-043-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,1,1.530215,0,4,4,2,1,A1CUDX7TTS2W61,3,wolfe_image-045-a_w_outline.jpg,wolfe_image-045-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.594005,0,5,5,15,1,A1CUDX7TTS2W61,16,wolfe_image-046-a_w_outline.jpg,wolfe_image-046-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,1,1.460045,0,6,6,29,1,A1CUDX7TTS2W61,30,wolfe_image-049-a_w_outline.jpg,wolfe_image-049-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.51657,0,7,7,10,1,A1CUDX7TTS2W61,11,wolfe_image-082-a_w_outline.jpg,wolfe_image-082-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,1,1.44106,0,8,8,13,1,A1CUDX7TTS2W61,14,wolfe_image-084-a_w_outline.jpg,wolfe_image-084-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.484205,0,9,9,16,1,A1CUDX7TTS2W61,17,wolfe_image-029-a_w_outline.jpg,wolfe_image-029-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
