consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt
,,,,,,,,4,3.627,0,10,10,16,1,A1FKRZKU1H9YFC,17,wolfe_image-031-a_w_outline.jpg,wolfe_image-031-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,5,16.163,0,11,11,27,1,A1FKRZKU1H9YFC,28,wolfe_image-014-a_w_outline.jpg,wolfe_image-014-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,4,3.345,0,12,12,2,1,A1FKRZKU1H9YFC,3,wolfe_image-091-a_w_outline.jpg,wolfe_image-091-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,4,3.236,0,13,13,13,1,A1FKRZKU1H9YFC,14,wolfe_image-029-a_w_outline.jpg,wolfe_image-029-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,4,3.049,0,14,14,1,1,A1FKRZKU1H9YFC,2,wolfe_image-104-a_w_outline.jpg,wolfe_image-104-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,4,3.382,0,15,15,8,1,A1FKRZKU1H9YFC,9,wolfe_image-094-a_w_outline.jpg,wolfe_image-094-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,4,2.884,0,16,16,15,1,A1FKRZKU1H9YFC,16,wolfe_image-097-a_w_outline.jpg,wolfe_image-097-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,4,8.135,0,17,17,21,1,A1FKRZKU1H9YFC,22,wolfe_image-005-a_w_outline.jpg,wolfe_image-005-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,4,7.676,0,18,18,19,1,A1FKRZKU1H9YFC,20,wolfe_image-013-a_w_outline.jpg,wolfe_image-013-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,3,4.434,0,19,19,26,1,A1FKRZKU1H9YFC,27,wolfe_image-007-a_w_outline.jpg,wolfe_image-007-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,5,2.453,0,20,20,20,1,A1FKRZKU1H9YFC,21,wolfe_image-004-a_w_outline.jpg,wolfe_image-004-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,1,5.102,0,21,21,3,1,A1FKRZKU1H9YFC,4,wolfe_image-086-a_w_outline.jpg,wolfe_image-086-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,5,2.647,0,22,22,6,1,A1FKRZKU1H9YFC,7,wolfe_image-111-a_w_outline.jpg,wolfe_image-111-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,4,3.484,0,23,23,23,1,A1FKRZKU1H9YFC,24,wolfe_image-010-a_w_outline.jpg,wolfe_image-010-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,5,16.117,0,24,24,0,1,A1FKRZKU1H9YFC,1,wolfe_image-136-a_w_outline.jpg,wolfe_image-136-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,4,3.276,0,25,25,9,1,A1FKRZKU1H9YFC,10,wolfe_image-117-a_w_outline.jpg,wolfe_image-117-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,4,3.128,0,26,26,11,1,A1FKRZKU1H9YFC,12,wolfe_image-003-a_w_outline.jpg,wolfe_image-003-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,5,3.669,0,27,27,10,1,A1FKRZKU1H9YFC,11,wolfe_image-121-a_w_outline.jpg,wolfe_image-121-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,5,2.532,0,28,28,7,1,A1FKRZKU1H9YFC,8,wolfe_image-113-a_w_outline.jpg,wolfe_image-113-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,2,6.895,0,29,29,5,1,A1FKRZKU1H9YFC,6,wolfe_image-017-a_w_outline.jpg,wolfe_image-017-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,,,,,,,,A1FKRZKU1H9YFC,,,,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,5,1.856
