workerId,trial_num,image_a,image_b
A2D9ZZDR43R34Q,1,ma_79241011-a_w_outline.jpg,ma_79241011-b_w_outline.jpg
A2D9ZZDR43R34Q,2,ma_70687495-a_w_outline.jpg,ma_70687495-b_w_outline.jpg
A2D9ZZDR43R34Q,3,ma_56835136-a_w_outline.jpg,ma_56835136-b_w_outline.jpg
A2D9ZZDR43R34Q,4,ma_89354846-a_w_outline.jpg,ma_89354846-b_w_outline.jpg
A2D9ZZDR43R34Q,5,ma_75081153-a_w_outline.jpg,ma_75081153-b_w_outline.jpg
A2D9ZZDR43R34Q,6,ma_90405028-a_w_outline.jpg,ma_90405028-b_w_outline.jpg
A2D9ZZDR43R34Q,7,ma_27857618-a_w_outline.jpg,ma_27857618-b_w_outline.jpg
A2D9ZZDR43R34Q,8,ma_77793328-a_w_outline.jpg,ma_77793328-b_w_outline.jpg
A2D9ZZDR43R34Q,9,ma_87983207-a_w_outline.jpg,ma_87983207-b_w_outline.jpg
A2D9ZZDR43R34Q,10,ma_38546029-a_w_outline.jpg,ma_38546029-b_w_outline.jpg
A2D9ZZDR43R34Q,11,ma_62224663-a_w_outline.jpg,ma_62224663-b_w_outline.jpg
A2D9ZZDR43R34Q,12,ma_12178414-a_w_outline.jpg,ma_12178414-b_w_outline.jpg
A2D9ZZDR43R34Q,13,ma_25107991-a_w_outline.jpg,ma_25107991-b_w_outline.jpg
A2D9ZZDR43R34Q,14,ma_8974554-a_w_outline.jpg,ma_8974554-b_w_outline.jpg
A2D9ZZDR43R34Q,15,ma_46635293-a_w_outline.jpg,ma_46635293-b_w_outline.jpg
A2D9ZZDR43R34Q,16,ma_77345858-a_w_outline.jpg,ma_77345858-b_w_outline.jpg
A2D9ZZDR43R34Q,17,ma_74173745-a_w_outline.jpg,ma_74173745-b_w_outline.jpg
A2D9ZZDR43R34Q,18,ma_77574131-a_w_outline.jpg,ma_77574131-b_w_outline.jpg
A2D9ZZDR43R34Q,19,ma_88767165-a_w_outline.jpg,ma_88767165-b_w_outline.jpg
A2D9ZZDR43R34Q,20,ma_31236119-a_w_outline.jpg,ma_31236119-b_w_outline.jpg
A2D9ZZDR43R34Q,21,ma_75958241-a_w_outline.jpg,ma_75958241-b_w_outline.jpg
A2D9ZZDR43R34Q,22,ma_79222679-a_w_outline.jpg,ma_79222679-b_w_outline.jpg
A2D9ZZDR43R34Q,23,ma_22020472-a_w_outline.jpg,ma_22020472-b_w_outline.jpg
A2D9ZZDR43R34Q,24,ma_23199105-a_w_outline.jpg,ma_23199105-b_w_outline.jpg
A2D9ZZDR43R34Q,25,ma_85741618-a_w_outline.jpg,ma_85741618-b_w_outline.jpg
A2D9ZZDR43R34Q,26,ma_1383096-a_w_outline.jpg,ma_1383096-b_w_outline.jpg
A2D9ZZDR43R34Q,27,ma_24383097-a_w_outline.jpg,ma_24383097-b_w_outline.jpg
A2D9ZZDR43R34Q,28,ma_83691215-a_w_outline.jpg,ma_83691215-b_w_outline.jpg
A2D9ZZDR43R34Q,29,ma_51856108-a_w_outline.jpg,ma_51856108-b_w_outline.jpg
A2D9ZZDR43R34Q,30,ma_55174490-a_w_outline.jpg,ma_55174490-b_w_outline.jpg
