consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,34.04531,space,19.09466,5,34.430135,0,0,0,228,1,an outdoor party with table set and missing a setting,an outdoor party with table set and all the flatware in place,ma,67862299,5,39,A3TBG0S2IEBVHU,2021-01-08_13h54.33.299,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,A3TBG0S2IEBVHU,3SPJ03342267NZKAO4U2D1XXRCYJYK,40PS0,40PS0,3SPJ03342267NZKAO4U2D1XXRCYJYK,3SPJ03342267NZKAO4U2D1XXRCYJYK,268040,268040,,,,,,,,,,
,,,,4,22.81178,0,1,1,291,1,a bunch of cupcakes containing the letter h twice,a bunch of cupcakes containing the letter h once,ma,77345858,8,39,A3TBG0S2IEBVHU,2021-01-08_13h54.33.299,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,A3TBG0S2IEBVHU,3SPJ03342267NZKAO4U2D1XXRCYJYK,40PS0,40PS0,3SPJ03342267NZKAO4U2D1XXRCYJYK,3SPJ03342267NZKAO4U2D1XXRCYJYK,268040,268040,,,,,,,,,,
,,,,4,18.34176,0,2,2,321,1,black red and white wall with u21 written on it,colorful wall with tu21 on it,ma,79241011,3,39,A3TBG0S2IEBVHU,2021-01-08_13h54.33.299,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,A3TBG0S2IEBVHU,3SPJ03342267NZKAO4U2D1XXRCYJYK,40PS0,40PS0,3SPJ03342267NZKAO4U2D1XXRCYJYK,3SPJ03342267NZKAO4U2D1XXRCYJYK,268040,268040,,,,,,,,,,
,,,,5,14.037915,0,3,3,357,1,a candy setup with a broken stick on the right,a candy setup with perfect stick candies,ma,86520382,2,39,A3TBG0S2IEBVHU,2021-01-08_13h54.33.299,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,A3TBG0S2IEBVHU,3SPJ03342267NZKAO4U2D1XXRCYJYK,40PS0,40PS0,3SPJ03342267NZKAO4U2D1XXRCYJYK,3SPJ03342267NZKAO4U2D1XXRCYJYK,268040,268040,,,,,,,,,,
,,,,4,17.605815,0,4,4,13,1,"beautiful decorated table set for a meal with four candles, the candle on the left is the largest",decorated table set for an elegant meal with four candles of equal size,ma,10810329,9,39,A3TBG0S2IEBVHU,2021-01-08_13h54.33.299,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,A3TBG0S2IEBVHU,3SPJ03342267NZKAO4U2D1XXRCYJYK,40PS0,40PS0,3SPJ03342267NZKAO4U2D1XXRCYJYK,3SPJ03342267NZKAO4U2D1XXRCYJYK,268040,268040,,,,,,,,,,
,,,,5,17.44461,0,5,5,88,1,a messy table of books and crafts. a bright yellow book stands out in the corner,a messy table of books and crafts. a bright red book stands out in the corner,ma,23199105,8,39,A3TBG0S2IEBVHU,2021-01-08_13h54.33.299,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,A3TBG0S2IEBVHU,3SPJ03342267NZKAO4U2D1XXRCYJYK,40PS0,40PS0,3SPJ03342267NZKAO4U2D1XXRCYJYK,3SPJ03342267NZKAO4U2D1XXRCYJYK,268040,268040,,,,,,,,,,
,,,,5,9.6572,0,6,6,102,1,darts board placed at the bottom on the wall,darts board placed at the middle on the wall,ma,27857618,5,39,A3TBG0S2IEBVHU,2021-01-08_13h54.33.299,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,A3TBG0S2IEBVHU,3SPJ03342267NZKAO4U2D1XXRCYJYK,40PS0,40PS0,3SPJ03342267NZKAO4U2D1XXRCYJYK,3SPJ03342267NZKAO4U2D1XXRCYJYK,268040,268040,,,,,,,,,,
,,,,4,12.341565,0,7,7,240,1,a green and red quilt of squares of various shades of green and red.,a green and red quilt hanging on a white wall. the squares are various shades of green and red.,ma,70687495,1,39,A3TBG0S2IEBVHU,2021-01-08_13h54.33.299,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,A3TBG0S2IEBVHU,3SPJ03342267NZKAO4U2D1XXRCYJYK,40PS0,40PS0,3SPJ03342267NZKAO4U2D1XXRCYJYK,3SPJ03342267NZKAO4U2D1XXRCYJYK,268040,268040,,,,,,,,,,
,,,,4,9.954565,0,8,8,243,1,a red and green quilt with a medium red square in the yellow box,a red and green quilt with a light pink square in the yellow box,ma,70687495,4,39,A3TBG0S2IEBVHU,2021-01-08_13h54.33.299,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,A3TBG0S2IEBVHU,3SPJ03342267NZKAO4U2D1XXRCYJYK,40PS0,40PS0,3SPJ03342267NZKAO4U2D1XXRCYJYK,3SPJ03342267NZKAO4U2D1XXRCYJYK,268040,268040,,,,,,,,,,
,,,,5,9.851155,0,9,9,176,1,a block of sticky rice surrounded by sushi,a tidy block of sticky rice surrounded by sushi,ma,48486405,6,39,A3TBG0S2IEBVHU,2021-01-08_13h54.33.299,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,A3TBG0S2IEBVHU,3SPJ03342267NZKAO4U2D1XXRCYJYK,40PS0,40PS0,3SPJ03342267NZKAO4U2D1XXRCYJYK,3SPJ03342267NZKAO4U2D1XXRCYJYK,268040,268040,,,,,,,,,,
